member_id,panel_id,window_id,tested_notional_usd,buy_input_atomic,buy_status,sell_eligible,sell_status,buy_route_count,sell_route_count,buy_price_impact_pct,sell_price_impact_pct,roundtrip_quote_retention_bps,buy_first_reliable_available_at,sell_first_reliable_available_at,actual_elapsed_from_member_p0_seconds,buy_error_class,sell_error_class
T21-WATCH-61ce24fc3fa04e3eaba7,P1,T21-WATCH-61ce24fc3fa04e3eaba7-P1,10,10000000,QUOTE_AVAILABLE,true,QUOTE_AVAILABLE,2,2,0.0144215667989287348657124834,0.0181171103177218518154312944,9677.226,2026-08-01T12:26:43.697599Z,2026-08-01T12:26:45.956558Z,2347.885847,,
T21-WATCH-61ce24fc3fa04e3eaba7,P1,T21-WATCH-61ce24fc3fa04e3eaba7-P1,25,25000000,QUOTE_AVAILABLE,true,QUOTE_AVAILABLE,2,2,0.0201717379991904240048736444,0.0237567979038252553097183004,9565.5068,2026-08-01T12:26:48.132028Z,2026-08-01T12:26:50.306481Z,2347.885847,,
T21-WATCH-61ce24fc3fa04e3eaba7,P1,T21-WATCH-61ce24fc3fa04e3eaba7-P1,50,50000000,QUOTE_AVAILABLE,true,QUOTE_AVAILABLE,2,2,0.0295867878944403646679026305,0.0328889092887658397432327158,9384.9738,2026-08-01T12:26:52.586948Z,2026-08-01T12:26:54.804019Z,2347.885847,,
T21-WATCH-61ce24fc3fa04e3eaba7,P1,T21-WATCH-61ce24fc3fa04e3eaba7-P1,100,100000000,QUOTE_AVAILABLE,true,QUOTE_AVAILABLE,3,2,0.0478798033361864953299852417,0.0501239831179261402501383354,9043.9614,2026-08-01T12:26:56.904401Z,2026-08-01T12:26:59.211463Z,2347.885847,,
T21-WATCH-61ce24fc3fa04e3eaba7,P2,T21-WATCH-61ce24fc3fa04e3eaba7-P2,10,10000000,QUOTE_AVAILABLE,true,QUOTE_AVAILABLE,3,2,0.0148894071342523124590994694,0.0181257749079763623427264046,9672.547,2026-08-01T13:11:38.651668Z,2026-08-01T13:11:40.902580Z,5042.839916,,
T21-WATCH-61ce24fc3fa04e3eaba7,P2,T21-WATCH-61ce24fc3fa04e3eaba7-P2,25,25000000,QUOTE_AVAILABLE,true,QUOTE_AVAILABLE,2,3,0.0209045934852089608197554851,0.0241225179462980578003523429,9554.7716,2026-08-01T13:11:43.076488Z,2026-08-01T13:11:45.248070Z,5042.839916,,
T21-WATCH-61ce24fc3fa04e3eaba7,P2,T21-WATCH-61ce24fc3fa04e3eaba7-P2,50,50000000,QUOTE_AVAILABLE,true,QUOTE_AVAILABLE,2,3,0.030908375576972292152960444,0.0337849627402576048880737488,9363.509,2026-08-01T13:11:47.502559Z,2026-08-01T13:11:49.739276Z,5042.839916,,
T21-WATCH-61ce24fc3fa04e3eaba7,P2,T21-WATCH-61ce24fc3fa04e3eaba7-P2,100,100000000,QUOTE_AVAILABLE,true,QUOTE_AVAILABLE,2,3,0.0503071520394427991567645056,0.0519971778945187076818504547,9003.115,2026-08-01T13:11:51.925132Z,2026-08-01T13:11:54.055152Z,5042.839916,,
T21-WATCH-6f21dec76d05f5831216,P0,T21-WATCH-6f21dec76d05f5831216-P0,10,10000000,QUOTE_AVAILABLE,true,QUOTE_AVAILABLE,3,2,0.0200935029295779039552806075,0.0109141577321957850341747798,8528.697,2026-08-01T11:47:17.444729Z,2026-08-01T11:47:19.526994Z,0.0,,
T21-WATCH-6f21dec76d05f5831216,P0,T21-WATCH-6f21dec76d05f5831216-P0,25,25000000,QUOTE_AVAILABLE,true,QUOTE_AVAILABLE,3,2,0.0181903284630149662083759468,0.0105455980693015316253714128,9826.4332,2026-08-01T11:47:21.720001Z,2026-08-01T11:47:24.002832Z,0.0,,
